Program,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Female Founders Program,Scrunch Program,Scrunch Enterprises Pty Ltd,West End,4101.0,,nan,Female Founders Scrunch Program,West End,4101.0,,7/08/2020,Brisbane (C),Brisbane,South Brisbane,95409.0
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Dr Philip Ellery,Burleigh Heads,4220.0,,nan,Epri - Insects For Food And Feed,Burleigh Heads,4220.0,,27/07/2017,Gold Coast (C),Gold Coast,Burleigh,100000.0
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Microba Life Sciences Limited,Brisbane City,4000.0,,nan,Data Mining The Gut Microbiome,Brisbane City,4000.0,,27/07/2017,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Future Biosolutions Pty Ltd,Mountain Creek,4557.0,,nan,New Tools For Viral Monitoring,Mountain Creek,4557.0,,27/07/2017,Sunshine Coast (R),Sunshine Coast,Buderim,100000.0
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Feline Pty Ltd,Bonogin,4213.0,,nan,Advanced Materials For Light-Weight Electric Motors,Bonogin,4213.0,,27/07/2017,Gold Coast (C),Gold Coast,Mudgeeraba,100000.0
Fraunhofer Institute Partnership,Fraunhofer Institute Partnership,Griffith University,Southport,4215.0,,nan,Operation Of The Fraunhofer Icair Centre At GriffithS Gold Coast Campus,Southport,4215.0,,1/06/2018,Gold Coast (C),Gold Coast,Bonney,700000.0
Global Ceo Challenge,Round 1,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059.0,,nan,Global Ceo Scale-Up Program,Kelvin Grove,4059.0,,1/10/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,75000.0
Growing Queensland'S Companies,,University Of South Australia (Australian Centre For Business Growth),"Adelaide, SA",,,nan,Growing Queensland'S Companies,nan,,"Multiple Areas In Queensland: Brisbane, Sunshine Coast, Townsville, Gold Coast",28/02/2017,Nonqueensland,Statewide,Nonqueensland,2202334.0
Hot Desq,Round 1,Citizen Wolf Pty Ltd,New South Wales,,,"Host: Creative Enterprise Australia, QUT",Citizen Wolf,Kelvin Grove,4059.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,50000.0
Hot Desq,Round 1,Lawadvisor Pty Ltd,Victoria,,,Host: River City Labs,Lawadvisor Connects People And Businesses With Expert And Easy To Understand Legal Advice.,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,45000.0
Hot Desq,Round 1,Krak Skateboarding Pty Ltd,Germany,,,Host: Little Tokyo Two,Krak,Brisbane City,4000.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Ata Technologies Au Pty Ltd,United States,,,Host: QUT Bluebox,Answer.Ky,Kelvin Grove,4059.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Koala Safe Pty Ltd,New South Wales,,,Host: theSPACE,Koalasafe,Cairns,4870.0,,10/10/2016,Nonqueensland,Far North Queensland,Nonqueensland,100000.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Openrevs Pty Ltd,New South Wales,,,Host: Collaborate,Openrevs,Spring Hill,4000.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Pixc Co Pty Limited,United States,,,Host: River City Labs,Pixc,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 1,Much Better Adventures Pty Ltd,United Kingdom,,,Host: River City Labs,Much Better Adventures,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,9091.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Eternime Pty Ltd,United States,,,Host: QUT Creative Enterprise Australia,Eternime,Kelvin Grove,4059.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 1,Covercard Pty Ltd,Victoria,,,Host: River City Labs,Covercard,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Criskco Au Pty Ltd,Israel,,,Host: Collaborate,Criskco,Spring Hill,4000.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Deepblu (Australia) Pty Ltd,Taiwan,,,Host: theSPACE,Deepblu Inc.,Cairns,4870.0,,10/10/2016,Nonqueensland,Far North Queensland,Nonqueensland,100000.0
Hot Desq,Round 1,Eikonic R & D Pty Ltd,Victoria,,,Host: Collaborate,Eikonic R&D Pty Ltd,Spring Hill,4000.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Innovation Centre Sunshine Coast,Sippy Downs,4556.0,,nan,Host,Sippy Downs,4556.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,8000.0
Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Kallfly Pty Ltd,Phillipines,,,Host: Little Tokyo Two,Kallfly,Brisbane City,4000.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Iridium Dynamics Pty Ltd,New South Wales,,,Host: QUT Bluebox,Iridium Dynamics,Kelvin Grove,4059.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Flowpay Australia Pty Ltd,United States,,,Host: River City Labs,Flowpay,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Contact2Sale Pty Ltd,Brazil,,,Host: River City Labs,Contact2Sale,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 1,Foogi Australia Pty Limited,New South Wales,,,Host: Little Tokyo Two,Foogi,Brisbane City,4000.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,50000.0
Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Reflive Pty Ltd,Victoria,,,Host: River City Labs,Reflive,Fortitude Valley,4006.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,,nan,Host,Sippy Downs,4556.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,8000.0
Hot Desq,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,,nan,Host,Sippy Downs,4556.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,6000.0
Hot Desq,Round 2,The Generator (Bundaberg),Bundaberg,4670.0,,nan,Host,Bundaberg,4670.0,,1/06/2017,Bundaberg (R),Wide Bay,Bundaberg,8000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Sensor Bridge Technologies Pty Ltd (Business Name - Less Industries),Argentina,,,Host: The Generator (Bundaberg),Less Industries,Bundaberg,4670.0,,27/07/2017,Nonqueensland,Wide Bay,Nonqueensland,100000.0
Hot Desq,Round 2,Speedlancer Pty Ltd,Victoria,,,Host: Little Tokyo Two,Speedlancer,Spring Hill,4000.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Medicsensors Aus Pty Ltd (Medicsen),Spain,,,Host: Innovation Centre Sunshine Coast,Medicsen,Sippy Downs,4556.0,,27/07/2017,Nonqueensland,Sunshine Coast,Nonqueensland,100000.0
Hot Desq,Round 2,Micropowerlabs (Aus) Pty Ltd,Singapore,,,Host: Fire Station 101,Micropowerlabs,Ipswich,4305.0,,27/07/2017,Nonqueensland,Ipswich,Nonqueensland,55000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,3000.0
Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Pinch Labs,United States,,,Host: River City Labs,Pinch Labs,Fortitude Valley,4006.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Pledgeme Pty Ltd,New Zealand,,,Host: Little Tokyo Two,Pledgeme,Brisbane City,4000.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Pycno Industries Pty Ltd,China,,,Host: QUT Bluebox,Pycno,Kelvin Grove,4059.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,Parasym,United Kingdom,,,Host: Fishburners,Parasym,Brisbane City,4000.0,,8/01/2019,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,8/01/2019,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,8/01/2019,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,Hotelflex Pty Ltd,United Kingdom,,,Host: GC Hub,Hotelflex,Robina,4226.0,,8/01/2019,Nonqueensland,Gold Coast,Nonqueensland,100000.0
Hot Desq,Round 3,K R Consultancy Services Pty Ltd,Australian Capital Territory,,,Host: theSPACE,Questagame,Manunda,4870.0,,8/01/2019,Nonqueensland,Far North Queensland,Nonqueensland,75000.0
Hot Desq,Round 3,Kuaifit Pty Ltd,China,,,Host: Fishburners,Kuaifit,Brisbane City,4000.0,,8/01/2019,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,nan,Host,Cairns,4870.0,,8/01/2019,Cairns (R),Far North Queensland,Cairns,8000.0
Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,nan,Host,Cairns,4870.0,,8/01/2019,Cairns (R),Far North Queensland,Cairns,6000.0
Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,nan,Host,Cairns,4870.0,,8/01/2019,Cairns (R),Far North Queensland,Cairns,6000.0
Hot Desq,Round 3,Smart Reef Pty Ltd,New South Wales,,,Host: theSPACE,Smart Reef,Cairns,4870.0,,8/01/2019,Nonqueensland,Far North Queensland,Nonqueensland,50000.0
Hot Desq,Round 3,Sunbirds Aero Pty Ltd,France,,,Host: River City Labs,Sunbirds,Fortitude Valley,4006.0,,8/01/2019,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 3,Takemetour,Thailand,,Qut Cea,Host: QUT CEA,Takemetour,Kelvin Grove,4059.0,,8/01/2019,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 2,Ziggu Pty Ltd,Luxembourg,,,Host: Little Tokyo Two,Ziggu,Spring Hill,4000.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,8/01/2019,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 3,Curious Labs Pty Ltd,New South Wales,,,Host: theSPACE,Ai Powered Competitive And Market Intelligence,Bungalow,4870.0,,8/01/2019,Nonqueensland,Far North Queensland,Nonqueensland,75000.0
Hot Desq,Round 2,Turbulent Australia Pty Ltd,Belgium,,,Host: Innovation Centre Sunshine Coast,Turbulent,Sippy Downs,4556.0,,27/07/2017,Nonqueensland,Sunshine Coast,Nonqueensland,75000.0
Hot Desq,Round 2,Wisran,United States,,,Host: Canvas Coworking Space (Toowoomba),Wisran,Toowoomba City,4350.0,,27/07/2017,Nonqueensland,Darling Downs,Nonqueensland,75000.0
Hot Desq,Round 2,Zentivo Pty Ltd,New South Wales,,,Host: Little Tokyo Two,Zentivo,Brisbane City,4000.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,50000.0
Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,,nan,Host,Brisbane City,4000.0,,8/01/2019,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,Gold Coast Innovation Hub Limited,Robina,4226.0,,nan,Host,Robina,4226.0,,8/01/2019,Gold Coast (C),Gold Coast,Mudgeeraba,8000.0
Hot Desq,Round 3,Hema Tilt Pty Ltd,France,,,Host: Fishburners,Higheredme,Brisbane City,4000.0,,8/01/2019,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 3,Eco Wave Power Australia Pty Ltd,Gibraltar,,,Host: River City Labs,Eco Wave Power,Fortitude Valley,4006.0,,8/01/2019,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,,nan,Host,Brisbane City,4000.0,,8/01/2019,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,,nan,Host,Brisbane City,4000.0,,8/01/2019,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Timelooper,United States,,,"Host: Creative Enterprise Australia, QUT",Timelooper,Kelvin Grove,4059.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,37500.0
Hot Desq,Round 1,Toured Adventures Pty Ltd,United States,,,Host: Spark Bureau,Toured,Maroochydore,4558.0,,10/10/2016,Nonqueensland,Sunshine Coast,Nonqueensland,75000.0
Hot Desq,Round 1,Touriocity Australia Pty Ltd,United Kingdom,,,Host: River City Labs,Touriocity,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Suncayr Pty Ltd,Canada,,,Host: QUT Bluebox,Suncayr,Kelvin Grove,4059.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Thespace Australasia Pty Ltd,Manunda,4870.0,,nan,Host,Cairns,4870.0,,14/03/2016,Cairns (R),Far North Queensland,Cairns,8000.0
Hot Desq,Round 1,Thespace Australasia Pty Ltd,Manunda,4870.0,,nan,Host,Cairns,4870.0,,14/03/2016,Cairns (R),Far North Queensland,Cairns,6000.0
Hot Desq,Round 2,Scoodit Pty Ltd,Switzerland,,,Host: River City Labs,Scoodit,Fortitude Valley,4006.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 2,Ark Paradigm Pty Ltd,Chile,,,Host: Fishburners,Ark Paradigm,Brisbane City,4000.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Aubot Pty Ltd,Victoria,,,Host: QUT Bluebox,Aubot,Brisbane City,4000.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Trumbull Pty Ltd,United States,,,Host: Little Tokyo Two,Trumbull Expansion To Queensland,Brisbane City,4000.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Wazlo Australia Pty Ltd,United States,,,Host: Innovation Centre Sunshine Coast,Wazlo,Sippy Downs,4556.0,,10/10/2016,Nonqueensland,Sunshine Coast,Nonqueensland,100000.0
Hot Desq,Round 2,Alfie Btc Pty Ltd (If No Reply),United Kingdom,,,Host: River City Labs,Alfie Btc,Fortitude Valley,4006.0,,27/07/2017,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,,nan,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Skin Analytics Pty Ltd,United Kingdom,,,Host: Bond University,Melanoma Home Screening,Varsity Lakes,4227.0,,10/10/2016,Nonqueensland,Gold Coast,Nonqueensland,100000.0
Hot Desq,Round 1,Spark Bureau Limited,Maroochydore,4558.0,,nan,Host,Maroochydore,4558.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Maroochydore,6000.0
Hot Desq,Round 1,Squareaway Technologies Pty Ltd,Victoria,,,Host: River City Labs,Squareaway,Fortitude Valley,4006.0,,10/10/2016,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,nan,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,Mcconnel,6000.0
